sap_module,sap_table,sap_field,sap_description,sap_data_element,sap_domain,sap_table_description,classification_bucket,top_canonical_concept_id,top_canonical_strength,second_canonical_concept_id,second_canonical_strength,strength_margin,confidence_tier,top_canonical_matches,candidate_reason
,T001,WAABW,Maximum exchange rate deviation in percent,WAABW_001,NUM02,,weak_canonical_candidate,exchange_rate.rate,0.60,,,0.60,medium,exchange_rate.rate:0.60,context_enriched_unmapped_auto_candidate
,T001,XFMCO,Indicator: Project Cash Management active?,XFMCO,XFELD,,unmapped,project.id,0.60,,,0.60,medium,project.id:0.60,context_enriched_unmapped_auto_candidate
,T001,XVALV,Indicator: Propose Current Date As Value Date?,XVALV,XFELD,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,T001,XGJRV,Indicator: Propose Fiscal Year?,XGJRV,XFELD,,weak_canonical_candidate,fiscal_year.id,0.60,,,0.60,medium,fiscal_year.id:0.60,context_enriched_unmapped_auto_candidate
,T001,XKDFT,Indicator: Post Translations for Exchange Rate Differences?,XKDFT,XFELD,,weak_canonical_candidate,exchange_rate.rate,0.60,,,0.60,medium,exchange_rate.rate:0.60,context_enriched_unmapped_auto_candidate
,T001,XEINK,Indicator: Purchase Account Processing Is Active,XEINK,XFELD,,weak_canonical_candidate,account.status,0.60,,,0.60,medium,account.status:0.60,context_enriched_unmapped_auto_candidate
,T001,XSLTA,Indicator: No Exchange Rate Difference When Clearing in LC,XSLTA,XFELD,,weak_canonical_candidate,exchange_rate.rate,0.60,,,0.60,medium,exchange_rate.rate:0.60,context_enriched_unmapped_auto_candidate
,T001,OPVAR,Posting Period Variant,OPVAR,OPVAR,,weak_canonical_candidate,fiscal_period.id,0.60,,,0.60,medium,fiscal_period.id:0.60,context_enriched_unmapped_auto_candidate
,T001,WT_NEWWT,Indicator: Extended Withholding Tax Active,WT_NEWWT,XFELD,,weak_canonical_candidate,payroll.tax_amount,0.60,,,0.60,medium,payroll.tax_amount:0.60,context_enriched_unmapped_auto_candidate
,T001,FSTVARE,Funds Reservation Field Status Variant,FSTVARE,FSTVARE,,weak_canonical_candidate,inventory_reservation.status,0.60,,,0.60,medium,inventory_reservation.status:0.60,context_enriched_unmapped_auto_candidate
,T001,XSPLT,Enable Amount Split,BSPLT,XFELD,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,T001,F_OBSOLETE,Hide Entry in Value Help,FI_OBSOLETE_F4,XFELD,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,BKDF,DBEDT,Recurring Entry End Date,DBEDT,DATUM,,weak_canonical_candidate,employee.position,0.60,absence.end_date,0.50,0.10,medium,employee.position:0.60 | absence.end_date:0.50 | accounting.posting_date:0.50,context_enriched_unmapped_auto_candidate
,BKDF,RECURRENCE_TYPE,Recurrence Type,FAC_RJET_RECURRENCE_TYPE,FAC_RJET_RECURRENCE_TYPE,,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
,BKDF,OCCUR_DAY_TYPE,Occurrence Type,FAC_RJET_OCCUR_DAY_TYPE,FAC_RJET_OCCUR_DAY_TYPE,,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
,BKDF,END_BY_TYPE,Recurrence End Type,FAC_RJET_END_BY_TYPE,FAC_RJET_END_BY_TYPE,,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
,BKDF,CREATED_IN_SFIN,Recurring Journal Entry: Created by Fiori App Manage Rec JEs,FAC_RJET_CREATED_IN_SFIN,BOOLE,,weak_canonical_candidate,audit.created_by,0.60,,,0.60,medium,audit.created_by:0.60,context_enriched_unmapped_auto_candidate
,BNKA,PROVZ,"Region (State, Province, County)",REGIO,REGIO,,weak_canonical_candidate,supplier_bank_account.address,1.00,address.region,0.60,0.40,high,supplier_bank_account.address:1.00 | address.region:0.60 | supplier.address:0.50,context_enriched_unmapped_auto_candidate
,KONH,DATBI,Valid To Date,DATBI,DATUM,,weak_canonical_candidate,inventory_lot.manufacture_date,0.60,,,0.60,medium,inventory_lot.manufacture_date:0.60,context_enriched_unmapped_auto_candidate
,KONH,CCNUM,Condition Contract,WCB_COCO_NUM,WCB_COCO_NUM,,weak_canonical_candidate,contract.id,0.60,,,0.60,medium,contract.id:0.60,context_enriched_unmapped_auto_candidate
,KONH,PRICEAPPROVALREQUEST,Approval Request for Price Conditions,PRICEAPPROVALREQUEST,CONDITIONAPPROVALREQUEST,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,KONP,STFKZ,Scale Type,STFKZ,STFKZ,,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
,KONP,KSTBW,Scale Value,KSTBW,WERT8,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,KONP,MXWRT,Lower limit of the condition rate/amount,MXWRT,WERTV6,,weak_canonical_candidate,invoice.amount,0.60,tax.rate,0.50,0.10,medium,invoice.amount:0.60 | tax.rate:0.50,context_enriched_unmapped_auto_candidate
,KONP,PKWRT,Planned condition value,PKWRT,WERTV8,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,KONP,KBRUE,Accrual Amount,KBRUE,WERTV6,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,KONP,VALTG,Additional Value Days,VALTG,TAGE2,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,KONP,VALDT,Fixed Value Date,VALDT,DATUM,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,KONP,MIKBAS,Minimum condition base value,MIKBAS,MENG15,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,KONP,MXKBAS,Maximum condition base value,MXKBAS,MENG15,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,KONP,KOMXWRT,Maximum condition value,KOMXWRT,WERTV7,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,KONP,VKKAL,Sales Price Calculation: Relevant to Pricing,VKKAL,XFELD,,weak_canonical_candidate,invoice.amount,0.60,price.unit,0.50,0.10,medium,invoice.amount:0.60 | price.unit:0.50,context_enriched_unmapped_auto_candidate
,KONP,VERTT,Contract Type,RANTYP,RANTYP,,weak_canonical_candidate,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
,KONP,VBEWA,Flow Type,SBEWART,SBEWART,,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
,KONA,BOART,Agreement type,BOART,BOART,,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
,KONA,DATBI,Agreement valid-to date,ABDATBI,DATUM,,weak_canonical_candidate,inventory_lot.manufacture_date,0.60,,,0.60,medium,inventory_lot.manufacture_date:0.60,context_enriched_unmapped_auto_candidate
,KONA,KOBOG,Condition Type/Table Group,KOBOG,KOBOG,,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
,KONA,VALTG,Additional Value Days,VALTG,TAGE2,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,KONA,VALDT,Fixed Value Date,VALDT,DATUM,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,KONA,UMNAM,Person responsible for BVol. comparison f. final settlement,UMNAM,USNAM,,unmapped,contact.name,0.60,absence.start_date,0.50,0.10,medium,contact.name:0.60 | absence.start_date:0.50 | account.industry:0.50,context_enriched_unmapped_auto_candidate
,KONA,FOART,Subsequent settlement: update type (scale/condition basis),FOART_NA,XFELD,,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
,KONA,BON_ENH_CTYP,Contract Type,RANTYP,RANTYP,,weak_canonical_candidate,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
,KONA,BON_ENH_TTYP,Flow Type,SBEWART,SBEWART,,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
,VTTK,SHTYP,Shipment type,SHTYP,SHTYP,,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
,VTTK,ABFER,Shipment completion type,ABFER,ABFER,,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
,VTTK,VSAVL,Shipping type of preliminary leg,VSAVL,VERSART,,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
,VTTK,VSANL,Shipping type of subsequent leg,VSANL,VERSART,,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
,VTTK,EXTI1,External identification 1,EXTI1,TEXT20,,unmapped,employee.id,0.60,absence.start_date,0.50,0.10,medium,employee.id:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
,VTTK,EXTI2,External identification 2,EXTI2,TEXT20,,unmapped,employee.id,0.60,absence.start_date,0.50,0.10,medium,employee.id:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
,VTTK,DTDIS,Date of end of planning,DTDIS,DATUM,,weak_canonical_candidate,employee.position,0.60,absence.end_date,0.50,0.10,medium,employee.position:0.60 | absence.end_date:0.50 | accounting.posting_date:0.50,context_enriched_unmapped_auto_candidate
,VTTK,UZDIS,Scheduling end time,UZDIS,UZEIT,,weak_canonical_candidate,invoice.amount,0.60,absence.start_date,0.50,0.10,medium,invoice.amount:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
,VTTK,UPLBG,Planned loading start time,UPLBG,UZEIT,,weak_canonical_candidate,invoice.amount,0.60,absence.start_date,0.50,0.10,medium,invoice.amount:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
,VTTK,UALBG,Actual loading start time,UALBG,UZEIT,,weak_canonical_candidate,invoice.amount,0.60,absence.start_date,0.50,0.10,medium,invoice.amount:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
,VTTK,UPLEN,Planned loading end time,UPLEND,UZEIT,,weak_canonical_candidate,invoice.amount,0.60,absence.start_date,0.50,0.10,medium,invoice.amount:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
,VTTK,UALEN,Actual loading end time,UALEND,UZEIT,,weak_canonical_candidate,invoice.amount,0.60,absence.start_date,0.50,0.10,medium,invoice.amount:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
,VTTK,DTABF,Current date of shipment completion,DTABF,DATUM,,weak_canonical_candidate,training.completion_date,0.60,,,0.60,medium,training.completion_date:0.60,context_enriched_unmapped_auto_candidate
,VTTK,UPTBG,Planned transport start time,UPTBG,UZEIT,,weak_canonical_candidate,invoice.amount,0.60,absence.start_date,0.50,0.10,medium,invoice.amount:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
,VTTK,UATBG,Actual transport start time,UATBG,UZEIT,,weak_canonical_candidate,invoice.amount,0.60,absence.start_date,0.50,0.10,medium,invoice.amount:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
,VTTK,UPTEN,Planned transport end time,UPTEN,UZEIT,,weak_canonical_candidate,invoice.amount,0.60,absence.start_date,0.50,0.10,medium,invoice.amount:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
,VTTK,UATEN,Actual shipment end time,UATEND,UZEIT,,weak_canonical_candidate,invoice.amount,0.60,absence.start_date,0.50,0.10,medium,invoice.amount:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
,VTTK,DTMEG,Unit of Weight for Transportation Planning,DTMEG,MEINS,,weak_canonical_candidate,material.weight_unit_code,0.60,,,0.60,medium,material.weight_unit_code:0.60,context_enriched_unmapped_auto_candidate
,VTTK,DTMEV,Volume Unit for Transportation Planning,DTMEV,MEINS,,weak_canonical_candidate,volume.unit_code,0.60,,,0.60,medium,volume.unit_code:0.60,context_enriched_unmapped_auto_candidate
,VTTK,GESZT,Total travelling time between two locations incl. breaks,GESZT,FAHZT,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,VTTK,VSE_FRK,Handling Unit Data are Referred in Shipment Cost Document,VSE_FRK,VSE_FRK,,weak_canonical_candidate,shipment.freight_cost,0.60,material.base_price,0.50,0.10,medium,shipment.freight_cost:0.60 | material.base_price:0.50 | net_price_amount:0.50,context_enriched_unmapped_auto_candidate
,VTTK,GESZTD,Planned total time of transportation (in days),KP_GESZTDP,TSTRDURAG,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,VTTK,GESZTDA,Actual total time of shipment (in days),KP_GESZTDA,TSTRDURAG,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,VTTK,TNDRDAT,Date of tender status,TNDRDAT,DATUM,,weak_canonical_candidate,sourcing_event.status,0.60,,,0.60,medium,sourcing_event.status:0.60,context_enriched_unmapped_auto_candidate
,VTTK,TNDRZET,Time of tender status,TNDRZET,UZEIT,,weak_canonical_candidate,sourcing_event.status,0.60,,,0.60,medium,sourcing_event.status:0.60,context_enriched_unmapped_auto_candidate
,VTTK,TNDR_MAXP,Maximum Price for Shipment,TNDR_MAXP,WERT15,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
,VTTK,TNDR_MAXC,Currency of Maximum Price,TNDR_MAXC,WAERS,,weak_canonical_candidate,invoice.amount,0.60,accounting.document_currency_code,0.50,0.10,medium,invoice.amount:0.60 | accounting.document_currency_code:0.50 | bank_account.currency_code:0.50,context_enriched_unmapped_auto_candidate
,VTTK,CM_IDENT,Identification Number for Continuous Moves,CMIDENTIFIER,CHAR12,,unmapped,employee.id,0.60,absence.start_date,0.50,0.10,medium,employee.id:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
,VEKP,EXIDV,External Handling Unit Identification,EXIDV,EXIDV,,knowledge_only,employee.id,0.60,absence.start_date,0.50,0.10,medium,employee.id:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
,VEKP,MAGEW,Allowed Loading Weight of a Handling Unit,MAGEW_VEKP,MENG15,,weak_canonical_candidate,material.weight_unit_code,0.60,,,0.60,medium,material.weight_unit_code:0.60,context_enriched_unmapped_auto_candidate
,VEKP,TARAG,Tare Weight of Handling Unit,TARAG_VEKP,MENG15,,weak_canonical_candidate,material.weight_unit_code,0.60,,,0.60,medium,material.weight_unit_code:0.60,context_enriched_unmapped_auto_candidate
,VEKP,NTVOL,Loading Volume of Handling Unit,NTVOL_VEKP,MENG15,,weak_canonical_candidate,volume.unit_code,0.60,,,0.60,medium,volume.unit_code:0.60,context_enriched_unmapped_auto_candidate
,VEKP,MAVOL,Allowed Loading Volume for Handling Unit,MAVOL_VEKP,MENG15,,weak_canonical_candidate,volume.unit_code,0.60,,,0.60,medium,volume.unit_code:0.60,context_enriched_unmapped_auto_candidate
,VEKP,TAVOL,Tare Volume of Handling Unit,TAVOL_VEKP,MENG15,,weak_canonical_candidate,volume.unit_code,0.60,,,0.60,medium,volume.unit_code:0.60,context_enriched_unmapped_auto_candidate
,VEKP,GEWTO,Excess Weight Tolerance for Handling unit,GEWTO,PRZ21,,weak_canonical_candidate,material.weight_unit_code,0.60,,,0.60,medium,material.weight_unit_code:0.60,context_enriched_unmapped_auto_candidate
,VEKP,VOLTO,Excess Volume Tolerance of the Handling Unit,VOLTO,PRZ21,,weak_canonical_candidate,volume.unit_code,0.60,,,0.60,medium,volume.unit_code:0.60,context_enriched_unmapped_auto_candidate
,VEKP,GEWEI_MAX,Unit of Weight,GEWEI,MEINS,,weak_canonical_candidate,material.weight_unit_code,0.60,,,0.60,medium,material.weight_unit_code:0.60,context_enriched_unmapped_auto_candidate
,VEKP,VBELN_GEN,Delivery in Which Packaging Material Is Generated as an Item,VBELN_GEN,VBELN,,weak_canonical_candidate,delivery.id,0.60,,,0.60,medium,delivery.id:0.60,context_enriched_unmapped_auto_candidate
,VEKP,POSNR_GEN,Generated delivery item,POSNR_GEN,POSNR,,weak_canonical_candidate,delivery.line_item_number,0.60,,,0.60,medium,delivery.line_item_number:0.60,context_enriched_unmapped_auto_candidate
,VEKP,EXIDV2,Handling Unit's 2nd External Identification,EXIDV2,EXIDV,,knowledge_only,employee.id,0.60,absence.start_date,0.50,0.10,medium,employee.id:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
,VEKP,WMSTA,WM Status for Container Material,LVS_WMSTA,LVS_WMSTA,,weak_canonical_candidate,product.lifecycle_status,0.60,,,0.60,medium,product.lifecycle_status:0.60,context_enriched_unmapped_auto_candidate
,VEKP,PACKVORSCHR_ST,Local packing status for a single HU (without sub HUs),PL_PACKSTATUS_LOCAL,PL_PACKSTATU,,weak_canonical_candidate,packing.status,0.60,,,0.60,medium,packing.status:0.60,context_enriched_unmapped_auto_candidate
,VEKP,SPE_IDENT_01,Alternative HU Identification,/SPE/DE_IDENT,,,unmapped,employee.id,0.60,absence.start_date,0.50,0.10,medium,employee.id:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
