sap_module,sap_table,sap_field,sap_description,sap_data_element,sap_domain,sap_table_description,classification_bucket,top_canonical_concept_id,top_canonical_strength,second_canonical_concept_id,second_canonical_strength,strength_margin,confidence_tier,top_canonical_matches,candidate_reason
MM,EBAN,XOBLR,Item affects commitments,XOBLR,XFELD,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,EBAKZ,Purchase requisition closed,EBAKZ,XFELD,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,weak_canonical_candidate,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,SOBKZ,Special Stock Indicator,SOBKZ,SOBKZ,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,FIXKZ,Purchase requisition is fixed,BAFIX,XFELD,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,weak_canonical_candidate,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,KANBA,Kanban Indicator,KBNKZ,KBNKZ,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,FRGGR,Release group,FRGGR,FRGGR,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,purchasing_group.id,0.50,0.10,medium,requisition.line_item_number:0.60 | purchasing_group.id:0.50 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,FRGRL,Release Not Yet Completely Effected,FRGRL,XFELD,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,AKTNR,Retail Promotion,WAKTION,WAKTION,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,UMSOK,Special stock indicator for physical stock transfer,UMSOK,SOBKZ,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,knowledge_only,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,VERID,Production Version,VERID,VERID,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,FIPOS,Commitment Item,FIPOS,FIPOS,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,FISTL,Funds Center,FISTL,FISTL,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,GEBER,Fund,BP_GEBER,BP_GEBER,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,KZKFG,Origin of Configuration,KZCUH,KZCUH,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,SATNR,Cross-Plant Configurable Material,SATNR,MATNR,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,MNG02,Committed Quantity,MNG06,MENGV13,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,bom.quantity,0.50,0.10,medium,requisition.line_item_number:0.60 | bom.quantity:0.50 | goods_receipt.quantity:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,EMLIF,Supplier to be Supplied/Who is to Receive Delivery,EMLIF,LIFNR,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,LBLKZ,Subcontracting Supplier,LBLKZ,XFELD,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,KZBWS,Valuation of Special Stock,KZBWS,KZBWS,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,MPROF,Mfr part profile,MPROF,MPROF,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,TECHS,Parameter Variant/Standard Variant,TECHS,TECHS,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,FORDN,Framework Order,SFORDN,EBELN,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,FORDP,Item of framework order,FORDP,EBELP,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,BERID,MRP Area,BERID,BERID,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,FKBER,Functional Area,FKBER,FKBER,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,GRANT_NBR,Grant,GM_GRANT_NBR,GM_GRANT_NBR,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,MEMORY,Purchase Requisition not yet Complete,MEMBF,XFELD,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,weak_canonical_candidate,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,BANPR,Requisition Processing State,BANPR,BANPR,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,BLCKD,Purchase Requisition Blocked,BLCKD,BLCKD,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,weak_canonical_candidate,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,BLCKT,Reason for Item Block,BLCKT,CHAR60K,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,BESWK,Procuring Plant,BESWK,WERKS,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,EPROFILE,External Procurement Profile,MEPROFILE,EPROFILE,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,GMMNG,PO Quantity of Purchase Requisition in POs on Hold,GMMNG,MENG13,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,weak_canonical_candidate,requisition.line_item_number,0.60,bom.quantity,0.50,0.10,medium,requisition.line_item_number:0.60 | bom.quantity:0.50 | goods_receipt.quantity:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,KBLPOS,Earmarked Funds: Document Item,KBLPOS,KBLPOS,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,PRIO_URG,Requirement Urgency,PRIO_URG,PRIO_URG,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,PRIO_REQ,Requirement Priority,PRIO_REQ,PRIO_REQ,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,MHDRZ,Minimum Remaining Shelf Life,MHDRZ,DEC4,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,knowledge_only,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,NODISP,Ind: Reserv. not applicable to MRP;Purc. req. not created,NODISP,XFELD,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,BUDGET_PD,Budget Period,FM_BUDGET_PERIOD,FM_BUDGET_PERIOD,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,EXPERT_MODE,PR Created in Expert Mode,MMPUR_PR_SSP_EXPERT_MODE,BOOLEAN,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,CENTRAL_PURREQN_PROC,Is PR relevant for Central PR Processing,MMPUR_PR_CEN_PURREQN_PROC_MODE,BOOLEAN,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,INDELEGATEAPPROVAL,Purchase Requisition in external approval,MMPUR_INDELEGATEAPPROVAL,BOOLEAN,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,weak_canonical_candidate,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,DUMMY_EBAN_INCL_EEW_PS,Data element for purchase requisition extensibility,EBAN_INCL_EEW,EBAN_INCL_EEW,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,weak_canonical_candidate,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,STORENETWORKID,128 character,CHAR128,CHAR128,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,STORESUPPLIERID,"Character field, length 64",CHAR64,CHAR64,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,CREATIONTIME,Purchasing Document Creation Time,ME_PDI_CREATIONTIME,UZEIT,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,SERVICEPERFORMER,Service Performer,SERVICEPERFORMER,BU_PARTNER,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,ISEOPBLOCKED,Business Purpose Completed,EOPBLOCKED,EOPBLOCKED,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,EXT_REV_TMSTMP,Timestamp for Revision of External Calls,MM_EXT_REV_TMSTMP,TZNTSTMPL,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,EXTMATERIALFORPURG,Material of External System,MM_PUR_HUB_MATNR,MATNR,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,EXTFIXEDSUPPLIERFORPURG,Fixed Supplier of External System,MM_PUR_HUB_FLIEF,LIFNR,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,EXTDESIREDSUPPLIERFORPURG,Desired Supplier of External System,MM_PUR_HUB_WLIEF,LIFNR,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,EXTCONTRACTFORPURG,Contract of External System,MM_PUR_HUB_KONNR,EBELN,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,EXTCONTRACTITEMFORPURG,Contract Item of External System,MM_PUR_HUB_KTPNR,EBELP,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,EXTPLANTFORPURG,Plant of External System,MM_PUR_HUB_WERKS,WERKS,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,EXT_BE_PRCHANGEINDICATOR,Change Indicator for PR in Central Procurement,MM_PUR_HUB_CHGIND,BOOLE,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,ISCRREPLICATIONBEFOREAPPROVAL,Is Replication Before Approval,MMPUR_PR_CEN_REQN_REPL_BFR_APP,BOOLEAN,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,LASTCHANGEDATETIME,UTC Time Stamp in Long Form (YYYYMMDDhhmmssmmmuuun),TIMESTAMPL,TZNTSTMPL,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,ISONBEHALFCART,Shop on behalf indicator,MMPUR_REQ_D_SOB,XFLD,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,SDM_VERSION,Version of Silent Data Migration,MMPUR_SDM_VERSION,MMPUR_SDM_VERSION,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,CONTRACT_FOR_LIMIT,Purchase Contract for Enhanced Limit,CTR_FOR_LIMIT,EBELN,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,PFMTRANSDATAFOOTPRINTUUID,Transaction Data Footprint,PFMTRANSDATAFOOTPRINTUUID,SYSUUID,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,unmapped,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,HASTRADECOMPLIANCEISSUE,Is Purchase Requisition Blocked by Trade Compliance,MMPUR_PR_HAS_TRADE_COMPLIANCE,BOOLEAN_FLG,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,weak_canonical_candidate,requisition.line_item_number,0.60,requisition.id,0.50,0.10,medium,requisition.line_item_number:0.60 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
MM,EBAN,PURREQNDESCRIPTION,Purchase Requisition Description,PURREQNDESCRIPTION,TEXT40,Purchase Requisition PR header & item combined; one row per PR line. MM Materials Mgmt,weak_canonical_candidate,requisition.line_item_number,0.60,address.city,0.50,0.10,medium,requisition.line_item_number:0.60 | address.city:0.50 | requisition.id:0.50,context_enriched_unmapped_auto_candidate
