qb_module,qb_table,qb_field,qb_description,qb_field_type,qb_data_type,qb_max_length,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_canonical_matches,top_knowledge_concept_id,top_knowledge_strength,top_knowledge_matches,classification_bucket,review_recommendation
AR,Invoice,Memo,Customer-visible memo,VARCHAR,VARCHAR,4095,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,IsToBePrinted,Print queue flag,BOOL,BOOL,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,IsToBeEmailed,Email queue flag,BOOL,BOOL,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,IsSent,Sent to customer flag,BOOL,BOOL,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,SuggestedDiscountDate,Date by which discount applies,DATE,DATE,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,CustomField1,Custom field 1,VARCHAR,VARCHAR,1024,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,CustomField2,Custom field 2,VARCHAR,VARCHAR,1024,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,Invoice,LinkToTxnID,Linked transaction (e.g. from estimate),FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,InvoiceLine,TxnID,FK → Invoice.TxnID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,InvoiceLine,TxnLineID,Line item GUID,GUID,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,InvoiceLine,ItemRef_ListID,FK → Item.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,InvoiceLine,Desc,Line item description,VARCHAR,VARCHAR,4095,,,,,,material description,1.00,material description:1.00,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,InvoiceLine,RatePercent,Rate as percent (markup lines),PERCENT,"DECIMAL(8,4)",n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,InvoiceLine,ClassRef_ListID,FK → Class.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,InvoiceLine,ClassRef_FullName,Class name,VARCHAR,VARCHAR,159,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,InvoiceLine,SalesTaxCodeRef_ListID,FK → SalesTaxCode.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,InvoiceLine,Other1,Other custom column 1,VARCHAR,VARCHAR,29,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,InvoiceLine,Other2,Other custom column 2,VARCHAR,VARCHAR,29,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,InvoiceLine,LinkToTxnLineID,Linked source line (e.g. from PO),FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,InvoiceLine,Inventory_Site_Ref_ListID,Inventory site (Enterprise only),FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,TxnID,Unique QB GUID,GUID,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,TimeCreated,Creation timestamp,DATETIME,DATETIME,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,TimeModified,Last modified timestamp,DATETIME,DATETIME,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,EditSequence,Lock version,VARCHAR,VARCHAR,16,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,TxnNumber,Auto-increment transaction number,INT,INT,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,CustomerRef_ListID,FK → Customer.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,ClassRef_ListID,FK → Class.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,TemplateRef_ListID,FK → Template.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,BillAddress_City,Bill-to city,VARCHAR,VARCHAR,31,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,BillAddress_State,Bill-to state,VARCHAR,VARCHAR,21,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,ShipAddress_City,Ship-to city,VARCHAR,VARCHAR,31,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,ShipAddress_State,Ship-to state,VARCHAR,VARCHAR,21,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,IsPending,Pending flag,BOOL,BOOL,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,PaymentMethodRef_ListID,FK → PaymentMethod.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,PaymentChequeMemo,Memo on check,VARCHAR,VARCHAR,4095,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,DepositToAccountRef_ListID,FK → Account.ListID (deposit to),FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,Memo,Internal memo,VARCHAR,VARCHAR,4095,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,CustomerMsgRef_ListID,FK → CustomerMsg.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,IsToBePrinted,Print queue flag,BOOL,BOOL,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,IsToBeEmailed,Email queue flag,BOOL,BOOL,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,CurrencyRef_ListID,FK → Currency,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,SalesReceipt,ExternalGUID,External sync GUID,GUID,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,ReceivePayment,TxnID,Unique QB GUID,GUID,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,ReceivePayment,TimeCreated,Creation timestamp,DATETIME,DATETIME,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,ReceivePayment,TimeModified,Last modified timestamp,DATETIME,DATETIME,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,ReceivePayment,EditSequence,Lock version,VARCHAR,VARCHAR,16,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,ReceivePayment,TxnNumber,Auto-increment number,INT,INT,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,ReceivePayment,CustomerRef_ListID,FK → Customer.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,ReceivePayment,ARAccountRef_ListID,FK → Account.ListID (AR),FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,ReceivePayment,CurrencyRef_ListID,FK → Currency,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,ReceivePayment,PaymentMethodRef_ListID,FK → PaymentMethod.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,ReceivePayment,Memo,Payment memo,VARCHAR,VARCHAR,4095,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,ReceivePayment,DepositToAccountRef_ListID,FK → Account.ListID (deposit to / Undeposited Funds),FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,ReceivePayment,ExternalGUID,External sync GUID,GUID,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,ReceivePayment,AppliedToTxn_TxnID,FK → Invoice.TxnID being paid,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,TxnID,Unique QB GUID,GUID,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,TimeCreated,Creation timestamp,DATETIME,DATETIME,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,TimeModified,Last modified timestamp,DATETIME,DATETIME,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,EditSequence,Lock version,VARCHAR,VARCHAR,16,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,TxnNumber,Auto-increment number,INT,INT,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,CustomerRef_ListID,FK → Customer.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,ClassRef_ListID,FK → Class.ListID,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,ARAccountRef_ListID,FK → Account.ListID (AR),FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,TemplateRef_ListID,FK → Template,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,TxnDate,Credit memo date,DATE,DATE,n/a,,,,,,accounting.posting_date,1.00,accounting.posting_date:1.00 | inventory_transaction.date:1.00 | invoice.posting_date:1.00,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,CreditMemo,RefNumber,Credit memo number,VARCHAR,VARCHAR,11,,,,,,goods_receipt.id,1.00,goods_receipt.id:1.00 | purchase_order.id:1.00 | sales_order.id:1.00,knowledge_only,"Knowledge support exists, but no current canonical concept is reachable."
AR,CreditMemo,BillAddress_City,Bill-to city,VARCHAR,VARCHAR,31,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,BillAddress_State,Bill-to state,VARCHAR,VARCHAR,21,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,IsPending,Pending flag,BOOL,BOOL,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,TermsRef_ListID,FK → Terms,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,SalesRepRef_ListID,FK → SalesRep,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,FOB,Freight on board,VARCHAR,VARCHAR,13,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,ShipMethodRef_ListID,FK → ShipMethod,FK,GUID,36,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,Memo,Memo to customer,VARCHAR,VARCHAR,4095,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
AR,CreditMemo,IsToBePrinted,Print flag,BOOL,BOOL,n/a,,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for QuickBooks ingest enrichment or canonical gap review.
