concept_id,system,object_name,field_name,category,object_description,field_description,note
material.base_uom_code,QuickBooks,BillItemLine,UnitOfMeasure,AP,,Unit of measure,Materialized from description_alias_match; context from QBO field description.
asset.serial_number,QuickBooks,BillItemLine,SerialNumber,AP,,Serial number,Materialized from direct_alias_match; QBO table-field context only.
batch.id,QuickBooks,BillItemLine,LotNumber,AP,,Lot number,Materialized from direct_alias_match; QBO table-field context only.
supplier.name,QuickBooks,BillPayment,PayeeEntityRef_FullName,AP,,Vendor name,Materialized from description_alias_match; context from QBO field description.
payment.date,QuickBooks,BillPayment,TxnDate,AP,,Payment date,Materialized from description_alias_match; context from QBO field description.
exchange_rate.rate,QuickBooks,BillPayment,ExchangeRate,AP,,Exchange rate,Materialized from direct_alias_match; QBO table-field context only.
supplier.name,QuickBooks,PurchaseOrder,VendorRef_FullName,AP,,Vendor name,Materialized from description_alias_match; context from QBO field description.
supplier.city,QuickBooks,PurchaseOrder,VendorAddress_City,AP,,Vendor city,Materialized from description_alias_match; context from QBO field description.
purchase_order.id,QuickBooks,PurchaseOrder,RefNumber,AP,,PO number,Materialized from description_alias_match; context from QBO field description.
exchange_rate.rate,QuickBooks,PurchaseOrder,ExchangeRate,AP,,Exchange rate,Materialized from direct_alias_match; QBO table-field context only.
material.name,QuickBooks,PurchaseOrderLine,ItemRef_FullName,AP,,Item name,Materialized from description_alias_match; context from QBO field description.
material.base_uom_code,QuickBooks,PurchaseOrderLine,UnitOfMeasure,AP,,Unit of measure,Materialized from description_alias_match; context from QBO field description.
contact.name,QuickBooks,Account,FullName,GL,,Full hierarchical name,Materialized from direct_alias_match; QBO table-field context only.
account.status,QuickBooks,Account,IsActive,GL,,Active flag,Materialized from direct_alias_match; QBO table-field context only.
bank_account.routing_number,QuickBooks,Account,RoutingNumber,GL,,Bank routing / transit number,Materialized from direct_alias_match; QBO table-field context only.
accounting.posting_date,QuickBooks,JournalEntry,TxnDate,GL,,Posting date,Materialized from description_alias_match; context from QBO field description.
exchange_rate.rate,QuickBooks,JournalEntry,ExchangeRate,GL,,Exchange rate,Materialized from direct_alias_match; QBO table-field context only.
account.name,QuickBooks,JournalEntryLine,AccountRef_FullName,GL,,Account name,Materialized from description_alias_match; context from QBO field description.
material.name,QuickBooks,JournalEntryLine,ItemRef_FullName,GL,,Item name,Materialized from description_alias_match; context from QBO field description.
material.base_uom_code,QuickBooks,JournalEntryLine,UnitOfMeasure,GL,,Unit of measure,Materialized from description_alias_match; context from QBO field description.
contact.name,QuickBooks,Class,FullName,GL,,Full hierarchical name,Materialized from direct_alias_match; QBO table-field context only.
account.status,QuickBooks,Class,IsActive,GL,,Active flag,Materialized from direct_alias_match; QBO table-field context only.
exchange_rate.rate,QuickBooks,Deposit,ExchangeRate,GL,,Exchange rate,Materialized from direct_alias_match; QBO table-field context only.
contact.name,QuickBooks,Item,FullName,INV,,Hierarchical name,Materialized from direct_alias_match; QBO table-field context only.
account.status,QuickBooks,Item,IsActive,INV,,Active flag,Materialized from direct_alias_match; QBO table-field context only.
inventory_policy.reorder_point,QuickBooks,Item,ReorderPoint,INV,,Reorder trigger quantity,Materialized from direct_alias_match; QBO table-field context only.
stock.quantity,QuickBooks,Item,QuantityOnHand,INV,,Current stock quantity,Materialized from direct_alias_match; QBO table-field context only.
material.name,QuickBooks,InventoryAdjustmentLine,ItemRef_FullName,INV,,Item name,Materialized from description_alias_match; context from QBO field description.
asset.serial_number,QuickBooks,InventoryAdjustmentLine,SerialNumber,INV,,Serial number,Materialized from direct_alias_match; QBO table-field context only.
batch.id,QuickBooks,InventoryAdjustmentLine,LotNumber,INV,,Lot number,Materialized from direct_alias_match; QBO table-field context only.
account.status,QuickBooks,PriceLevel,IsActive,INV,,Active flag,Materialized from direct_alias_match; QBO table-field context only.
customer.name,QuickBooks,SalesOrder,CustomerRef_FullName,INV,,Customer name,Materialized from description_alias_match; context from QBO field description.
sales_order.id,QuickBooks,SalesOrder,RefNumber,INV,,SO number,Materialized from description_alias_match; context from QBO field description.
purchase_order.id,QuickBooks,SalesOrder,PONumber,INV,,Customer PO number,Materialized from direct_alias_match; QBO table-field context only.
shipment.planned_ship_date,QuickBooks,SalesOrder,ShipDate,INV,,Scheduled ship date,Materialized from description_alias_match; context from QBO field description.
account.status,QuickBooks,Employee,IsActive,PAY,,Active flag,Materialized from direct_alias_match; QBO table-field context only.
party.salutation,QuickBooks,Employee,Salutation,PAY,,Salutation,Materialized from direct_alias_match; QBO table-field context only.
employee.position,QuickBooks,Employee,JobTitle,PAY,,Job title,Materialized from direct_alias_match; QBO table-field context only.
department.name,QuickBooks,Employee,Department,PAY,,Department name,Materialized from description_alias_match; context from QBO field description.
supplier.address,QuickBooks,Employee,EmployeeAddress_City,PAY,,City,Materialized from description_alias_match; context from QBO field description.
supplier.region_code,QuickBooks,Employee,EmployeeAddress_State,PAY,,State,Materialized from description_alias_match; context from QBO field description.
address.postal_code,QuickBooks,Employee,EmployeeAddress_PostalCode,PAY,,Postal code,Materialized from description_alias_match; context from QBO field description.
supplier.address,QuickBooks,Employee,EmployeeAddress_Country,PAY,,Country,Materialized from description_alias_match; context from QBO field description.
employee.phone,QuickBooks,Employee,Mobile,PAY,,Mobile phone,Materialized from description_alias_match; context from QBO field description.
contact.email,QuickBooks,Employee,Email,PAY,,Email address,Materialized from description_alias_match; context from QBO field description.
employee.national_id,QuickBooks,Employee,SSN,PAY,,Social security number (encrypted),Materialized from direct_alias_match; QBO table-field context only.
employee.gender,QuickBooks,Employee,Gender,PAY,,Gender (M/F),Materialized from direct_alias_match; QBO table-field context only.
employee.birth_date,QuickBooks,Employee,BirthDate,PAY,,Date of birth,Materialized from description_alias_match; context from QBO field description.
employee.hire_date,QuickBooks,Employee,HireDate,PAY,,Employment start date,Materialized from direct_alias_match; QBO table-field context only.
employee.termination_date,QuickBooks,Employee,ReleasedDate,PAY,,Termination date,Materialized from description_alias_match; context from QBO field description.
employee.name,QuickBooks,Paycheck,EmployeeRef_FullName,PAY,,Employee name,Materialized from description_alias_match; context from QBO field description.
payroll.period_start_date,QuickBooks,Paycheck,WagePeriodStart,PAY,,Pay period start date,Materialized from description_alias_match; context from QBO field description.
payroll.period_end_date,QuickBooks,Paycheck,WagePeriodEnd,PAY,,Pay period end date,Materialized from description_alias_match; context from QBO field description.
account.status,QuickBooks,PayrollItem,IsActive,PAY,,Active flag,Materialized from direct_alias_match; QBO table-field context only.
service.name,QuickBooks,TimeTracking,ItemServiceRef_FullName,PAY,,Service item name,Materialized from description_alias_match; context from QBO field description.
account.status,QuickBooks,MemorizedTransaction,IsActive,RPT,,Active flag,Materialized from direct_alias_match; QBO table-field context only.
account.status,QuickBooks,SalesTaxCode,IsActive,RPT,,Active flag,Materialized from direct_alias_match; QBO table-field context only.
account.status,QuickBooks,PaymentMethod,IsActive,RPT,,Active flag,Materialized from direct_alias_match; QBO table-field context only.
account.status,QuickBooks,ShipMethod,IsActive,RPT,,Active flag,Materialized from direct_alias_match; QBO table-field context only.
account.status,QuickBooks,Currency,IsActive,RPT,,Active flag,Materialized from direct_alias_match; QBO table-field context only.
exchange_rate.rate,QuickBooks,Currency,ExchangeRate,RPT,,Current exchange rate vs home currency,Materialized from direct_alias_match; QBO table-field context only.
