action,priority,confidence,concept_id,proposed_entity,proposed_attribute,proposed_display_name,proposed_alias,source_system,source_file,source_table,source_field,source_datatype,evidence,review_note
new_concept_candidate,P0,high,,employee,phone,Employee Phone,Complete_Phone_Number; Employee_Phone_Number; Home_Phone; Involved_Party_Non-Worker_Phone_Number; Mobile_Phone; Phone_Number; Work_Phone; Video_Conference_Details,Workday,metadata_dict/wd_hr_knowledge_overlay.csv,Human Capital Management; Locations,,,Unknown overlay concept_id employee.phone appears in 8 Workday rows.,Likely missing employee contact concept. Review aliases as phone-specific; exclude video conference or non-worker party fields if they are not employee attributes.
map_existing_or_new_decision,P0,medium,invoice.document_currency_code,invoice,currency,Invoice Currency,Frequency_Reference; Amount; Annual_Income; Annualized_in_Reporting_Currency_Summary_Data; Currency_Code; Currency_Reference; Currency_Reference_Data; Individual_Target_Currency_Reference; Per_Unit_Amount; Primary_Compensation_Basis; Total_Salary_and_Allowances,Workday,metadata_dict/wd_hr_knowledge_overlay.csv,Benefits; Human Capital Management,,string,Unknown overlay concept_id invoice.currency appears in 11 Workday rows.,Do not import these aliases directly. First decide whether the overlay should map currency-code fields to invoice.document_currency_code/currency.code or whether some compensation amount rows are misclassified.
add_field_context,P1,high,bom.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAP,STLNR,CHAR,VBAP.STLNR: Bill of Material; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,bom.quantity,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAP,KMPMG,QUAN,VBAP.KMPMG: Component Quantity; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,business_partner.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAK,BPN,CHAR,VBAK.BPN: Business Partner Number; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,contract.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EBAN,KONNR,CHAR,EBAN.KONNR: Number of principal purchase agreement; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,contract.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKKO,KONNR,CHAR,EKKO.KONNR: Number of principal purchase agreement; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,contract.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,KONNR,CHAR,EKPO.KONNR: Number of principal purchase agreement; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,cost_center.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EBAN,KOSTL,CHAR,EBAN.KOSTL: Cost Center; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,cost_center.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,KOSTL,CHAR,EKPO.KOSTL: Cost Center; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,cost_center.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MSEG,KOSTL,CHAR,MSEG.KOSTL: Cost Center; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,cost_center.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAK,KOSTL,CHAR,VBAK.KOSTL: Cost Center; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,customer.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EBAN,DISUB_KUNNR,CHAR,EBAN.DISUB_KUNNR: Customer Number; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,customer.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKKO,KUNNR,CHAR,EKKO.KUNNR: Customer Number; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,customer.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,DISUB_KUNNR,CHAR,EKPO.DISUB_KUNNR: Customer Number; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,customer.language_code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EBAN,SPRAS,LANG,EBAN.SPRAS: Language Key; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,customer.language_code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKKO,SPRAS,LANG,EKKO.SPRAS: Language Key; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,customer.language_code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MAKT,SPRAS,LANG,MAKT.SPRAS: Language Key; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,delivery.requested_delivery_date,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAK,VDATU,DATS,VBAK.VDATU: Requested Delivery Date; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,distribution_channel.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAK,VTWEG,CHAR,VBAK.VTWEG: Distribution Channel; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,division.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARA,SPART,CHAR,MARA.SPART: Division; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,division.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAK,SPART,CHAR,VBAK.SPART: Division; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,division.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAP,SPART,CHAR,VBAP.SPART: Division; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,document.changed_date,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKKO,AEDAT,DATS,EKKO.AEDAT: Creation Date of Purchasing Document; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,document.changed_date,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,AEDAT,DATS,EKPO.AEDAT: Purchasing Document Item Change Date; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,document.changed_date,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MKPF,AEDAT,DATS,MKPF.AEDAT: Last Changed On; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,document.changed_date,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAK,AEDAT,DATS,VBAK.AEDAT: Last Changed On; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,document.changed_date,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAP,AEDAT,DATS,VBAP.AEDAT: Last Changed On; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,document.created_date,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EBAN,ERDAT,DATS,EBAN.ERDAT: Last Changed On; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,document.created_date,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARA,ERSDA,DATS,MARA.ERSDA: Created On; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,document.created_date,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARD,ERSDA,DATS,MARD.ERSDA: Created On; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,document.created_date,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAK,ERDAT,DATS,VBAK.ERDAT: Record Created On; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,document.created_date,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAP,ERDAT,DATS,VBAP.ERDAT: Record Created On; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,employee.department,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,DEP_ID,CHAR,EKPO.DEP_ID: Department; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,employee.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MSEG,PERNR,NUMC,MSEG.PERNR: Personnel Number; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,equipment.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MSEG,EQUNR,CHAR,MSEG.EQUNR: Equipment Number; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,exchange_rate.rate,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKKO,WKURS,DEC,EKKO.WKURS: Exchange Rate; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,fiscal_year.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MSEG,GJAHR,NUMC,MSEG.GJAHR: Fiscal Year; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,goods_receipt.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MKPF,MBLNR,CHAR,MKPF.MBLNR: Number of Material Document; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,goods_receipt.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MSEG,MBLNR,CHAR,MSEG.MBLNR: Number of Material Document; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,incoterm.code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKKO,INCO1,CHAR,EKKO.INCO1: Incoterms (Part 1); module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,incoterm.code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,INCO1,CHAR,EKPO.INCO1: Incoterms (Part 1); module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,incoterm.location,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKKO,INCO2,CHAR,EKKO.INCO2: Incoterms (Part 2); module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,incoterm.location,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,INCO2,CHAR,EKPO.INCO2: Incoterms (Part 2); module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,inventory_lot.expiration_date,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MSEG,VFDAT,DATS,MSEG.VFDAT: Shelf Life Expiration or Best-Before Date; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,inventory_policy.reorder_point,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARC,MINBE,QUAN,MARC.MINBE: Reorder Point; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,inventory_policy.safety_stock_quantity,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARC,EISBE,QUAN,MARC.EISBE: Safety Stock; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,inventory_reservation.quantity,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARD,FSH_SALLOC_QTY_S,QUAN,MARD.FSH_SALLOC_QTY_S: Allocated Stock Quantity; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,journal_entry.debit_credit_indicator,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MSEG,SHKZG,CHAR,MSEG.SHKZG: Debit/Credit Indicator; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,journal_entry.debit_credit_indicator,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAP,SHKZG,CHAR,VBAP.SHKZG: Returns Item; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,journal_entry.line_item_number,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MSEG,BUZEI,NUMC,MSEG.BUZEI: Number of Line Item Within Accounting Document; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,journal_entry.reference,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MKPF,XBLNR,CHAR,MKPF.XBLNR: Reference Document Number; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,journal_entry.reference,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MSEG,XBLNR_MKPF,CHAR,MSEG.XBLNR_MKPF: Reference Document Number; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,journal_entry.reference,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAK,XBLNR,CHAR,VBAK.XBLNR: Reference Document Number; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.base_uom_code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EBAN,MEINS,UNIT,EBAN.MEINS: Purchase requisition unit of measure; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.base_uom_code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,MEINS,UNIT,EKPO.MEINS: Purchase Order Unit of Measure; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.batch_managed_flag,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARA,XCHPF,CHAR,MARA.XCHPF: Batch Management Requirement Indicator; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.batch_managed_flag,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARC,XCHPF,CHAR,MARC.XCHPF: Batch Management Requirement Indicator for Plant; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.batch_managed_flag,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAP,XCHPF,CHAR,VBAP.XCHPF: Batch Management Requirement Indicator; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.country_of_origin_code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARA,HERKL,CHAR,MARA.HERKL: Country/Region of Origin of Material (Non-Preferential Ori.); module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.country_of_origin_code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARC,HERKL,CHAR,MARC.HERKL: Country/Region of Origin of Material (Non-Preferential Ori.); module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.country_of_origin_code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARD,HERKL,CHAR,MARD.HERKL: Country/Region of Origin of Material (Non-Preferential Ori.); module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.customer_part_number,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAP,KDMAT,CHAR,VBAP.KDMAT: Material Number Used by Customer; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.deletion_mark,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARA,LVORM,CHAR,MARA.LVORM: Flag Material for Deletion at Client Level; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.deletion_mark,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARC,LVORM,CHAR,MARC.LVORM: Flag Material for Deletion at Plant Level; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.deletion_mark,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARD,LVORM,CHAR,MARD.LVORM: Flag Material for Deletion at Storage Location Level; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.deletion_mark,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MBEW,LVORM,CHAR,MBEW.LVORM: Deletion flag for all material data of a valuation type; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.drawing_revision,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EBAN,REVLV,CHAR,EBAN.REVLV: Revision Level; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.drawing_revision,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,REVLV,CHAR,EKPO.REVLV: Revision Level; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.engineering_part_number,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARA,BISMT,CHAR,MARA.BISMT: Old material number; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.gross_weight,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,BRGEW,QUAN,EKPO.BRGEW: Gross Weight; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.gross_weight,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARA,BRGEW,QUAN,MARA.BRGEW: Gross Weight; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.gross_weight,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARM,BRGEW,QUAN,MARM.BRGEW: Gross Weight; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.gross_weight,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAP,BRGEW,QUAN,VBAP.BRGEW: Gross Weight of the Item; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.hts_code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,STAWN,CHAR,EKPO.STAWN: Commodity Code; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.hts_code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARC,STAWN,CHAR,MARC.STAWN: Commodity Code; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.manufacturer_part_number,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EBAN,MFRPN,CHAR,EBAN.MFRPN: Manufacturer Part Number; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.manufacturer_part_number,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,MFRPN,CHAR,EKPO.MFRPN: Manufacturer Part Number; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.manufacturer_part_number,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARA,MFRPN,CHAR,MARA.MFRPN: Manufacturer Part Number; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.number,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EBAN,FSH_ITEM,NUMC,EBAN.FSH_ITEM: Item Number; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.number,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,EMATN,CHAR,EKPO.EMATN: Material number; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.number,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,FSH_ITEM,NUMC,EKPO.FSH_ITEM: Item Number; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.weight_unit_code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,GEWEI,UNIT,EKPO.GEWEI: Unit of Weight; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.weight_unit_code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARA,GEWEI,UNIT,MARA.GEWEI: Unit of Weight; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.weight_unit_code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARM,GEWEI,UNIT,MARM.GEWEI: Unit of Weight; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,material.weight_unit_code,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAP,GEWEI,UNIT,VBAP.GEWEI: Unit of Weight; module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,plant.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EBAN,WERKS,CHAR,EBAN.WERKS: Plant; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,plant.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,WERKS,CHAR,EKPO.WERKS: Plant; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,plant.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARC,WERKS,CHAR,MARC.WERKS: Plant; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,plant.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MARD,WERKS,CHAR,MARD.WERKS: Plant; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,plant.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,MSEG,WERKS,CHAR,MSEG.WERKS: Plant; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,plant.id,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,VBAP,WERKS,CHAR,VBAP.WERKS: Plant (Own or External); module=SD,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,price.unit,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EBAN,PEINH,DEC,EBAN.PEINH: Price unit; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
add_field_context,P1,high,price.unit,,,,,SAP,metadata_dict/sap_tables_mostUsed.xlsx#Tbls_Clm,EKPO,PEINH,DEC,EKPO.PEINH: Price unit; module=MM,Field context candidate from source schema; confirm table semantics before promotion.
